date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:37:14	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2021%20Jan%202019%2012:37:22%20GMT	http://www.sitepro.com.ar/web/productos/seguridad-en-hardware/luna-sa-5-x-hsm	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/productos/seguridad-en-hardware/luna-sa-5-x-hsm.25.delayed	(from https://www.sitepro.com.ar/web/)
09:37:14	37538/37538	---MC-	200	added ('OK')	text/html	date:Mon,%2021%20Jan%202019%2012:37:22%20GMT	https://www.sitepro.com.ar/web/productos/proteccion-de-datos/safenet-keysecure/	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/productos/proteccion-de-datos/safenet-keysecure/index.html	(from https://www.sitepro.com.ar/web/)
09:37:14	37796/37796	---MC-	200	added ('OK')	text/html	date:Mon,%2021%20Jan%202019%2012:37:23%20GMT	https://www.sitepro.com.ar/web/product/hardware-de-seguridad-hsm/safenet-luna-sa/	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/product/hardware-de-seguridad-hsm/safenet-luna-sa/index.html	(from https://www.sitepro.com.ar/web/)
09:37:15	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2021%20Jan%202019%2012:37:23%20GMT	https://www.sitepro.com.ar/web/productos/seguridad-en-hardware/luna-sa-5-x-hsm	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/productos/seguridad-en-hardware/luna-sa-5-x-hsm	(from https://www.sitepro.com.ar/web/)
09:37:15	35868/35868	---MC-	200	added ('OK')	text/html	date:Mon,%2021%20Jan%202019%2012:37:24%20GMT	https://www.sitepro.com.ar/web/productos/seguridad-en-hardware/luna-sa-5-x-hsm/	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/productos/seguridad-en-hardware/luna-sa-5-x-hsm/index.html	(from https://www.sitepro.com.ar/web/)
09:37:16	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2021%20Jan%202019%2012:37:24%20GMT	http://www.sitepro.com.ar/web/productos/autenticacion-de-usuarios/safenet-authentication-manager	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/productos/autenticacion-de-usuarios/safenet-authentication-manager.27.delayed	(from https://www.sitepro.com.ar/web/)
09:37:16	37933/37933	---MC-	200	added ('OK')	text/html	date:Mon,%2021%20Jan%202019%2012:37:24%20GMT	https://www.sitepro.com.ar/web/product/hardware-de-seguridad-hsm/safenet-luna-pci/	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/product/hardware-de-seguridad-hsm/safenet-luna-pci/index.html	(from https://www.sitepro.com.ar/web/)
09:37:16	42789/42789	---MC-	200	added ('OK')	text/html	date:Mon,%2021%20Jan%202019%2012:37:24%20GMT	https://www.sitepro.com.ar/web/product/seguridad-en-hardware/luna-g5/	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/product/seguridad-en-hardware/luna-g5/index.html	(from https://www.sitepro.com.ar/web/)
09:37:16	35158/35158	---MC-	200	added ('OK')	text/html	date:Mon,%2021%20Jan%202019%2012:37:25%20GMT	https://www.sitepro.com.ar/web/productos/autenticacion-de-usuarios/dispositivos-otp/	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/productos/autenticacion-de-usuarios/dispositivos-otp/index.html	(from https://www.sitepro.com.ar/web/)
09:37:17	37838/37838	---MC-	200	added ('OK')	text/html	date:Mon,%2021%20Jan%202019%2012:37:25%20GMT	https://www.sitepro.com.ar/web/productos/autenticacion-de-usuarios/hardkey-mio/	Q:/01_Grafica_2017/Grafica%20Marina/WEB%20SITEPRO/www.sitepro.com.ar/web/productos/autenticacion-de-usuarios/hardkey-mio/index.html	(from https://www.sitepro.com.ar/web/)
